# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: livingwitharthritis.org.uk
# Property: Living With Arthritis
# ----------------------------------------
# 
# All Users
# Start date: 20260818
# End date: 20260914
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Social,768,122,0.15885416666666666,5.76171875,3.9453125,3030,142,0.109375,0
Organic Search,59,47,0.7966101694915254,68.15254237288136,9.40677966101695,555,89,0.6271186440677966,0
Direct,46,31,0.6739130434782609,176.17391304347825,42.15217391304348,1939,385,0.5434782608695652,0
Unassigned,12,10,0.8333333333333334,30.916666666666668,15.75,189,36,0.75,0
AI Assistant,1,1,1,3,5,5,1,1,0
Referral,1,1,1,20,16,16,1,1,0
